Car_id,Brand,Model,Year,Price,Km_driven,Fuel_type,Transmission,Owner_type,Mileage_kmpl,Engine_cc,Seats,City,Listing_date,Car_age
1,Mahindra,XUV300,2015,1566118.0,134587,Diesel,Manual,Third Owner,17.7,800,5,Mumbai,2021-01-23,11
2,Hyundai,Verna,2022,1504945.0,168302,Electric,Automatic,First Owner,22.6,2000,5,Pune,2020-01-12,4
3,Hyundai,Verna,2021,1164265.0,33476,Diesel,Automatic,First Owner,26.3,1500,4,Pune,2020-01-17,5
4,Maruti,WagonR,2021,2256237.0,148996,Diesel,Manual,First Owner,25.4,2000,4,Mumbai,2024-01-19,5
5,Mahindra,Scorpio,2007,2255364.0,124851,Electric,Manual,First Owner,14.5,800,7,Pune,2019-08-02,19
6,Mahindra,Bolero,2007,1687869.0,90921,Diesel,Automatic,Second Owner,28.2,1500,5,Hyderabad,2020-10-18,19
7,Toyota,Glanza,2018,1243528.0,137096,Cng,Manual,Third Owner,14.1,1800,4,Kolkata,2020-04-25,8
8,Honda,City,2020,180539.0,119206,Electric,Manual,First Owner,28.6,1800,5,Chennai,2020-08-16,6
9,Maruti,Alto,2008,1840044.0,185107,Electric,Manual,First Owner,21.8,1000,5,Delhi,2022-12-25,18
10,Mahindra,Scorpio,2014,337048.0,74851,Diesel,Automatic,Second Owner,12.8,1800,7,Mumbai,2022-09-14,12
11,Tata,Tiago,2014,2212571.0,134777,Diesel,Automatic,Second Owner,23.7,2000,7,Mumbai,2021-01-16,12
12,Honda,Civic,2023,1135878.0,15569,Diesel,Automatic,Second Owner,25.1,800,4,Delhi,2020-09-28,3
13,Tata,Nexon,2020,2322522.0,166301,Diesel,Manual,Second Owner,25.4,800,4,Kolkata,2019-12-17,6
14,Honda,Amaze,2009,1267419.0,87155,Petrol,Automatic,Third Owner,27.3,1200,5,Mumbai,2023-05-14,17
15,Hyundai,Creta,2007,1267419.0,190775,Electric,Manual,First Owner,28.3,800,7,Hyderabad,2020-04-25,19
16,Toyota,Glanza,2008,2460732.0,160430,Petrol,Automatic,First Owner,17.7,1500,7,Delhi,2021-07-25,18
17,Mahindra,Scorpio,2019,1994863.0,35653,Electric,Automatic,Third Owner,18.9,1500,5,Pune,2022-01-10,7
18,Tata,Nexon,2023,194098.0,139403,Diesel,Manual,First Owner,16.6,1500,5,Mumbai,2019-09-29,3
19,Hyundai,i10,2017,1181086.0,163526,Petrol,Automatic,First Owner,15.0,1000,5,Chennai,2021-06-14,9
20,Mahindra,Bolero,2014,177005.0,52363,Electric,Manual,Third Owner,21.3,1500,5,Pune,2019-01-26,12
21,Maruti,WagonR,2018,2341628.0,147037,Cng,Automatic,Third Owner,28.6,1200,4,Chennai,2024-01-03,8
22,Mahindra,Bolero,2013,277360.0,198239,Petrol,Automatic,Third Owner,28.2,1500,4,Kolkata,2022-08-25,13
23,Mahindra,Bolero,2021,256079.0,101180,Petrol,Manual,Second Owner,11.2,1000,4,Pune,2020-10-16,5
24,Tata,Nexon,2023,2324522.0,30717,Petrol,Automatic,Second Owner,13.9,800,7,Mumbai,2023-07-02,3
25,Mahindra,XUV300,2007,867942.0,116575,Petrol,Manual,First Owner,14.8,800,4,Chennai,2020-05-01,19
26,Maruti,Baleno,2013,2359041.0,50786,Electric,Automatic,First Owner,24.3,1000,4,Hyderabad,2022-07-16,13
27,Honda,City,2009,1383900.0,189075,Petrol,Automatic,Second Owner,17.4,1500,4,Chennai,2020-01-16,17
28,Honda,Amaze,2021,1835553.0,86294,Electric,Automatic,First Owner,17.8,2000,4,Kolkata,2019-06-18,5
29,Tata,Nexon,2016,1273091.0,30629,Cng,Automatic,First Owner,15.4,800,5,Delhi,2023-01-18,10
30,Mahindra,Bolero,2005,621622.0,124543,Petrol,Manual,First Owner,27.3,1800,5,Bangalore,2019-07-08,21
31,Mahindra,Scorpio,2014,373525.0,77606,Petrol,Manual,Third Owner,25.4,1200,5,Bangalore,2024-06-20,12
32,Tata,Nexon,2018,2470680.0,99319,Petrol,Manual,Second Owner,17.7,2000,4,Chennai,2022-09-01,8
33,Maruti,WagonR,2015,1743933.0,114631,Cng,Automatic,First Owner,18.7,1800,7,Kolkata,2020-12-02,11
34,Honda,City,2019,1165034.0,190548,Diesel,Automatic,Third Owner,12.9,1200,7,Bangalore,2020-05-17,7
35,Hyundai,i20,2010,2259182.0,173558,Cng,Manual,Second Owner,18.8,1200,4,Pune,2020-01-07,16
36,Hyundai,i20,2009,2431024.0,126372,Electric,Automatic,First Owner,15.5,1500,7,Pune,2019-04-20,17
37,Toyota,Innova,2022,1877187.0,183720,Electric,Manual,Third Owner,21.5,1000,5,Pune,2021-09-06,4
38,Toyota,Innova,2008,1075428.0,27414,Diesel,Automatic,Second Owner,17.7,1200,5,Chennai,2022-03-11,18
39,Tata,Tiago,2021,493974.0,14178,Diesel,Automatic,First Owner,23.0,2000,4,Hyderabad,2021-06-23,5
40,Hyundai,Creta,2024,533684.0,20672,Petrol,Manual,First Owner,12.6,2000,5,Chennai,2024-04-09,2
41,Toyota,Innova,2006,1267419.0,146303,Diesel,Automatic,Third Owner,25.6,1200,4,Pune,2021-02-12,20
42,Mahindra,XUV300,2009,555044.0,164776,Diesel,Automatic,First Owner,19.1,800,5,Bangalore,2022-07-19,17
43,Tata,Nexon,2019,121164.0,121131,Cng,Manual,First Owner,17.7,800,4,Delhi,2023-04-15,7
44,Hyundai,i10,2007,2424911.0,63196,Electric,Automatic,First Owner,11.6,1800,7,Mumbai,2022-02-07,19
45,Toyota,Fortuner,2007,2292912.0,74542,Cng,Automatic,Third Owner,15.6,1800,4,Bangalore,2024-04-18,19
46,Tata,Tiago,2005,1267419.0,193690,Cng,Manual,Second Owner,15.7,1800,5,Hyderabad,2023-10-06,21
47,Tata,Tiago,2011,1788618.0,93477,Cng,Automatic,Third Owner,11.4,1800,5,Mumbai,2021-12-08,15
48,Toyota,Innova,2010,2075960.0,138059,Electric,Manual,First Owner,20.5,1000,7,Hyderabad,2023-11-15,16
49,Tata,Altroz,2012,1452742.0,98742,Diesel,Manual,Third Owner,15.3,800,5,Chennai,2022-07-10,14
50,Hyundai,i10,2023,2430919.0,103846,Petrol,Automatic,Third Owner,20.4,800,4,Bangalore,2019-10-09,3
51,Tata,Altroz,2015,1339277.0,52475,Cng,Automatic,Third Owner,15.5,800,5,Mumbai,2020-11-25,11
52,Tata,Altroz,2012,1639757.0,93059,Cng,Automatic,Second Owner,30.0,2000,7,Bangalore,2022-03-07,14
53,Mahindra,Scorpio,2010,825827.0,145255,Electric,Automatic,First Owner,26.5,2000,7,Pune,2020-01-23,16
54,Mahindra,XUV300,2022,2203806.0,133119,Petrol,Automatic,First Owner,29.9,1200,4,Hyderabad,2020-02-28,4
55,Hyundai,Creta,2018,685470.0,22405,Diesel,Manual,Third Owner,28.0,800,4,Chennai,2024-01-12,8
56,Honda,Civic,2020,754134.0,24391,Cng,Manual,Second Owner,29.3,2000,5,Mumbai,2019-04-30,6
57,Maruti,Baleno,2014,1145727.0,154188,Electric,Manual,Second Owner,13.0,2000,4,Kolkata,2024-06-16,12
